Season,League,,League Level,W,D,L,Goals,+/-,Points,Rank,Manager
51/52,,Serie A,First Tier,21,7,10,86:49:00,37,49:27:00,3,Aldo Olivieri
50/51,,Serie A,First Tier,27,5,6,107:43:00,64,59:17:00,2,Aldo Olivieri
49/50,,Serie A,First Tier,21,7,10,99:60,39,49:27:00,3,Giulio Cappelli
48/49,,Serie A,First Tier,22,11,5,85:39:00,46,55:21:00,2,David Astley
47/48,,Serie A,First Tier,16,5,19,67:60,7,37:43:00,12,David Astley
46/47,,Serie A,First Tier,13,10,15,59:54:00,5,36:40:00,10,Giuseppe Meazza
42/43,,Serie A,First Tier,15,4,11,53:38:00,15,34:26:00,4,Giovanni Ferrari
41/42,,Serie A,First Tier,7,12,11,31:47:00,-16,26:34:00,12,Ferenc Molnár
40/41,,Serie A,First Tier,14,7,9,52:42:00,10,35:25:00,2,Giuseppe Peruchetti
39/40,,Serie A,First Tier,20,4,6,56:23:00,33,44:16:00,1,Toni Cargnelli
38/39,,Serie A,First Tier,14,9,7,55:37:00,18,37:23:00,3,Toni Cargnelli
37/38,,Serie A,First Tier,16,9,5,57:28:00,29,41:19:00,1,Armando Castellazzi
36/37,,Serie A,First Tier,9,13,8,43:35:00,8,31:29:00,7,Armando Castellazzi
35/36,,Serie A,First Tier,14,8,8,61:34:00,27,36:24:00,4,Albino Carraro
34/35,,Serie A,First Tier,15,12,3,58:24:00,34,42:18:00,2,Gyula Feldmann †
33/34,,Serie A,First Tier,20,9,5,66:24:00,42,49:19:00,2,Árpád Weisz
32/33,,Serie A,First Tier,19,8,7,80:53:00,27,46:22:00,2,Árpád Weisz
31/32,,Serie A,First Tier,15,8,11,67:52:00,15,38:30:00,6,István Tóth-Potya
30/31,,Serie A,First Tier,15,8,11,60:45:00,15,38:30:00,5,Árpád Weisz
1929/30,,Serie A,First Tier,22,6,6,85:38:00,47,50:18:00,1,Árpád Weisz
